City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,San Patricio,US,2021-06-04 19:17:14,28.017,-97.5169,84.29,62,49,3.04
270,Trapani,IT,2021-06-04 19:17:14,37.8333,12.6667,72.91,88,20,7.09
271,Rio Grande,BR,2021-06-04 19:17:14,-32.035,-52.0986,72.95,78,24,5.41
272,Alta Floresta,BR,2021-06-04 19:17:15,-9.8756,-56.0861,94.82,29,20,6.91
273,Maun,BW,2021-06-04 19:17:15,-19.9833,23.4167,58.96,47,0,5.75
274,Bacum,MX,2021-06-04 19:17:15,27.55,-110.0833,97.18,16,0,7.81
275,Oneonta,US,2021-06-04 19:16:49,42.4529,-75.0638,80.64,65,62,1.01
276,Tiarei,PF,2021-06-04 19:17:16,-17.5333,-149.3333,82.42,77,68,14.76
277,Altay,CN,2021-06-04 19:17:16,47.8667,88.1167,59.54,74,75,0.56
278,Yaan,NG,2021-06-04 19:17:16,7.3833,8.5667,78.58,82,56,3.06
279,Wasilla,US,2021-06-04 19:17:17,61.5814,-149.4394,55.38,66,40,4.61
280,Kununurra,AU,2021-06-04 19:13:02,-15.7667,128.7333,75.18,35,81,6.91
281,Booue,GA,2021-06-04 19:17:17,-0.0921,11.9385,74.98,92,41,1.86
282,Chernyshevskiy,RU,2021-06-04 19:17:17,63.0128,112.4714,43.93,92,100,7.81
283,Bubaque,GW,2021-06-04 19:17:18,11.2833,-15.8333,79.29,79,6,19.17
284,Garowe,SO,2021-06-04 19:17:18,8.4054,48.4845,83.43,50,92,20.22
285,Cap Malheureux,MU,2021-06-04 19:17:18,-19.9842,57.6142,71.47,89,66,10.0
286,Peniche,PT,2021-06-04 19:17:19,39.3558,-9.3811,66.74,75,99,21.12
287,Helong,CN,2021-06-04 19:17:19,42.5397,128.9972,52.48,87,100,7.23
288,San Juan De La Vega,MX,2021-06-04 19:17:19,20.6333,-100.7667,67.77,72,98,6.71
289,Simpang,ID,2021-06-04 19:17:20,-1.2667,104.0833,75.13,91,100,2.66
290,Kelvington,CA,2021-06-04 19:17:20,52.1667,-103.5343,80.26,36,91,11.95
291,Dongsheng,CN,2021-06-04 19:17:20,39.8161,109.9776,54.73,27,0,0.72
292,Male,MV,2021-06-04 19:15:41,4.1748,73.5089,82.22,79,100,15.93
