City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Puquio,PE,-14.7,-74.1333,48.22,88,52,0.27,broken clouds
307,Gayny,RU,60.3071,54.3241,51.69,73,94,6.44,overcast clouds
308,Porbandar,IN,21.6422,69.6093,84.92,69,92,14.65,overcast clouds
309,Amapa,BR,1.0,-52.0,71.74,100,100,2.62,overcast clouds
310,Nizhniy Tsasuchey,RU,50.5167,115.1333,60.03,38,8,10.07,clear sky
311,Severo-Kurilsk,RU,50.6789,156.125,40.48,82,75,9.22,broken clouds
312,Dax,FR,43.75,-1.1667,58.28,96,100,0.85,overcast clouds
313,Mangaratiba,BR,-22.9597,-44.0406,72.03,87,2,3.83,clear sky
314,Jumla,NP,29.2747,82.1838,56.41,91,100,5.14,overcast clouds
315,Bengkulu,ID,-3.8004,102.2655,83.84,71,77,2.66,broken clouds
316,Barcelos,PT,41.5388,-8.6151,59.14,88,98,1.41,overcast clouds
317,Izyaslav,UA,50.1195,26.8213,52.27,94,95,5.3,overcast clouds
318,Namibe,AO,-15.1961,12.1522,73.65,57,2,5.12,clear sky
319,Hovd,MN,48.0056,91.6419,76.42,17,98,14.56,overcast clouds
320,Camp Verde,US,34.5636,-111.8543,85.66,15,0,6.62,clear sky
321,Bantogon,PH,6.5333,124.0333,84.67,68,70,4.47,broken clouds
322,Beruwala,LK,6.4788,79.9828,82.31,81,81,14.41,broken clouds
323,Cabo San Lucas,MX,22.8909,-109.9124,85.8,64,100,11.5,overcast clouds
324,Bima,ID,-8.4667,118.7167,87.26,63,87,6.04,overcast clouds
325,Mount Isa,AU,-20.7333,139.5,74.97,20,35,13.8,scattered clouds
326,Bilibino,RU,68.0546,166.4372,49.37,54,82,11.21,broken clouds
327,Anuradhapura,LK,8.3565,80.4173,83.84,72,32,16.04,scattered clouds
328,Makurdi,NG,7.7411,8.5121,77.74,84,15,5.26,few clouds
329,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.98,99,47,2.48,light rain
330,Dudinka,RU,69.4058,86.1778,24.28,93,100,12.62,overcast clouds
331,Ilmajoki,FI,62.7333,22.5667,45.54,78,1,2.68,clear sky
332,Pangody,RU,65.85,74.4859,36.99,55,84,12.86,broken clouds
333,Nouadhibou,MR,20.931,-17.0347,64.38,82,0,17.27,clear sky
334,Trincomalee,LK,8.5711,81.2335,84.9,71,8,22.46,clear sky
